Tabla de posiciones ; PJ ; G ; E ; P ; GF ; GC ; DF ; Pts;
Lucas Ariel Ocampos;69;Sevilla
Javier Galán Gil;69;Huesca
Enrique García Martínez;67;Eibar
Iker Muniain Goñi;66;Athletic Bilbao
Mauro Wilney Arambarri Rosa;64;Getafe
Lionel Andrés Messi Cuccittini;64;Barcelona
Maximiliano Gómez González;58;Valencia
José Luis Mato Sanmartín;57;Alavés
Mikel Merino Zazón;56;Real Sociedad

 Tarjetas Amarillas 
Stefan Savic;13;Atlético de Madrid
Renato Fabrizio Tapia Cortijo;11;Celta
Damián Nicolás Suárez Suárez;10;Getafe
Tomás Pina Isla;10;Alavés
Allan Romeo Nyom;9;Getafe
Erick Cathriel Cabaco Almada;9;Getafe
Guido Rodríguez;9;Betis
Edgar Antonio Méndez Ortega;9;Alavés
Florian Grégoire Claude Lejeune;9;Alavés
Germán Sánchez Barahona;9;Granada

 Tarjetas Rojas 
José Bordalás Jiménez;2;Getafe
José Manuel Rodríguez Benito;1;Getafe
Allan Romeo Nyom;1;Getafe
Jaime Mata Arnaiz;1;Getafe
Djené Dakonam Ortega;1;Getafe
Íñigo Martínez Berridi;1;Athletic Bilbao
Martín Montoya Torralbo;1;Betis
Aissa Mandi;1;Betis
Emerson Aparecido Leite De Souza Junior;1;Betis
Roberto Suárez Pier;1;Levante
