Tabla de posiciones ; PJ ; G ; E ; P ; GF ; GC ; DF ; Pts;
 Faltas Recibidas 
Jack Peter Grealish;98;Aston Villa
Wilfried Zaha;68;Crystal Palace
Sadio Mané;67;Liverpool
John McGinn;64;Aston Villa
Adama Traoré Diarra;64;Wolverhampton
Richarlison De Andrade;57;Everton
Eberechi Oluchi Eze;55;Crystal Palace
Bukayo Saka;53;Arsenal
Jordan Pierre Ayew;53;Crystal Palace
James Maddison;51;Leicester City

 Tarjetas Amarillas 
Héctor Bellerín Moruno;8;Arsenal
Jacob Harry Maguire;8;Manchester United
Isaac Scot Hayden;8;Newcastle United
John David Lundstram;8;Sheffield United
Conor John Gallagher;8;West Bromwich
Douglas Luiz Soares de Paulo;7;Aston Villa
John McGinn;7;Aston Villa
Rúben Diogo da Silva Neves;7;Wolverhampton
Luka Milivojevic;7;Crystal Palace
Kalvin Phillips;7;Leeds United

 Tarjetas Rojas 
Granit Xhaka;1;Arsenal
Nicolas Pépé;1;Arsenal
David Luiz Moreira Marinho;1;Arsenal
Bernd Leno;1;Arsenal
Dean Smith;1;Aston Villa
Andreas Christensen;1;Chelsea
Lucas Digne;1;Everton
Richarlison De Andrade;1;Everton
Antonee Robinson;1;Fulham
Aboubakar Kamara;1;Dijon
